,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
471,6,California,19,Fresno,15.0,6,19
472,6,California,37,Los Angeles,59.0,6,37
473,6,California,59,Orange,16.0,6,59
474,6,California,67,Sacramento,20.0,6,67
475,6,California,67,Sacramento,5.0,6,67
476,6,California,73,San Diego,24.0,6,73
477,6,California,73,San Diego,6.0,6,73
478,6,California,75,San Francisco,16.0,6,75
479,6,California,75,San Francisco,16.0,6,75
480,6,California,83,Santa Barbara,2.0,6,83
481,6,California,101,Sutter,5.0,6,101
482,6,California,107,Tulare,17.0,6,107
515,42,Pennsylvania,3,Allegheny,15.0,42,3
516,42,Pennsylvania,49,Erie,6.0,42,49
517,42,Pennsylvania,89,Monroe,1.0,42,89
518,42,Pennsylvania,125,Washington,2.0,42,125
519,42,Pennsylvania,125,Washington,0.0,42,125
520,42,Pennsylvania,129,Westmoreland,1.0,42,129
525,48,Texas,29,Bexar,11.0,48,29
526,48,Texas,479,Webb,10.0,48,479
542,6,California,1,Alameda,5.0,6,1
543,6,California,1,Alameda,11.0,6,1
544,6,California,17,El Dorado,23.0,6,17
545,6,California,37,Los Angeles,13.0,6,37
546,6,California,37,Los Angeles,20.0,6,37
547,6,California,45,Mendocino,8.0,6,45
548,6,California,97,Sonoma,17.0,6,97
587,42,Pennsylvania,17,Bucks,5.0,42,17
588,42,Pennsylvania,69,Lackawanna,0.0,42,69
589,42,Pennsylvania,101,Philadelphia,11.0,42,101
592,48,Texas,29,Bexar,14.0,48,29
593,48,Texas,113,Dallas,6.0,48,113
594,48,Texas,141,El Paso,10.0,48,141
595,48,Texas,141,El Paso,15.0,48,141
610,6,California,17,El Dorado,6.0,6,17
611,6,California,37,Los Angeles,14.0,6,37
612,6,California,37,Los Angeles,28.0,6,37
613,6,California,37,Los Angeles,16.0,6,37
614,6,California,59,Orange,10.0,6,59
615,6,California,59,Orange,47.0,6,59
616,6,California,67,Sacramento,14.0,6,67
617,6,California,73,San Diego,39.0,6,73
618,6,California,83,Santa Barbara,2.0,6,83
619,6,California,83,Santa Barbara,2.0,6,83
620,6,California,85,Santa Clara,36.0,6,85
621,6,California,95,Solano,14.0,6,95
622,6,California,113,Yolo,6.0,6,113
661,42,Pennsylvania,3,Allegheny,3.0,42,3
662,42,Pennsylvania,73,Lawrence,14.0,42,73
663,42,Pennsylvania,77,Lehigh,2.0,42,77
664,42,Pennsylvania,125,Washington,1.0,42,125
665,42,Pennsylvania,129,Westmoreland,0.0,42,129
666,42,Pennsylvania,129,Westmoreland,1.0,42,129
667,42,Pennsylvania,133,York,1.0,42,133
672,48,Texas,29,Bexar,7.0,48,29
673,48,Texas,141,El Paso,6.0,48,141
674,48,Texas,479,Webb,18.0,48,479
687,6,California,1,Alameda,6.0,6,1
688,6,California,13,Contra Costa,8.0,6,13
689,6,California,17,El Dorado,1.0,6,17
690,6,California,25,Imperial,13.0,6,25
691,6,California,37,Los Angeles,9.0,6,37
692,6,California,37,Los Angeles,17.0,6,37
693,6,California,59,Orange,5.0,6,59
694,6,California,65,Riverside,7.0,6,65
695,6,California,65,Riverside,8.0,6,65
696,6,California,73,San Diego,6.0,6,73
697,6,California,107,Tulare,10.0,6,107
698,6,California,107,Tulare,5.0,6,107
699,6,California,111,Ventura,5.0,6,111
700,6,California,111,Ventura,2.0,6,111
743,42,Pennsylvania,3,Allegheny,5.0,42,3
744,42,Pennsylvania,17,Bucks,9.0,42,17
745,42,Pennsylvania,101,Philadelphia,8.0,42,101
746,48,Texas,29,Bexar,8.0,48,29
747,48,Texas,141,El Paso,1.0,48,141
748,48,Texas,141,El Paso,7.0,48,141
749,48,Texas,141,El Paso,2.0,48,141
750,48,Texas,141,El Paso,8.0,48,141
751,48,Texas,201,Harris,3.0,48,201
752,48,Texas,201,Harris,3.0,48,201
753,48,Texas,479,Webb,6.0,48,479
775,6,California,19,Fresno,9.0,6,19
776,6,California,37,Los Angeles,14.0,6,37
777,6,California,45,Mendocino,17.0,6,45
778,6,California,67,Sacramento,5.0,6,67
779,6,California,67,Sacramento,5.0,6,67
780,6,California,71,San Bernardino,3.0,6,71
781,6,California,111,Ventura,5.0,6,111
836,42,Pennsylvania,3,Allegheny,10.0,42,3
837,42,Pennsylvania,3,Allegheny,15.0,42,3
838,42,Pennsylvania,7,Beaver,6.0,42,7
839,42,Pennsylvania,49,Erie,7.0,42,49
840,42,Pennsylvania,69,Lackawanna,5.0,42,69
841,42,Pennsylvania,91,Montgomery,3.0,42,91
844,48,Texas,141,El Paso,5.0,48,141
853,6,California,1,Alameda,20.0,6,1
854,6,California,13,Contra Costa,8.0,6,13
855,6,California,25,Imperial,3.0,6,25
856,6,California,29,Kern,2.0,6,29
857,6,California,37,Los Angeles,2.0,6,37
858,6,California,37,Los Angeles,24.0,6,37
859,6,California,37,Los Angeles,14.0,6,37
860,6,California,41,Marin,16.0,6,41
861,6,California,61,Placer,6.0,6,61
862,6,California,65,Riverside,11.0,6,65
863,6,California,73,San Diego,10.0,6,73
864,6,California,73,San Diego,32.0,6,73
865,6,California,77,San Joaquin,6.0,6,77
866,6,California,83,Santa Barbara,5.0,6,83
867,6,California,83,Santa Barbara,3.0,6,83
868,6,California,101,Sutter,5.0,6,101
904,42,Pennsylvania,17,Bucks,1.0,42,17
905,42,Pennsylvania,21,Cambria,11.0,42,21
906,42,Pennsylvania,21,Cambria,7.0,42,21
907,42,Pennsylvania,101,Philadelphia,7.0,42,101
908,42,Pennsylvania,125,Washington,1.0,42,125
909,48,Texas,439,Tarrant,6.0,48,439
910,48,Texas,479,Webb,6.0,48,479
927,6,California,1,Alameda,5.0,6,1
928,6,California,7,Butte,11.0,6,7
929,6,California,13,Contra Costa,6.0,6,13
930,6,California,19,Fresno,10.0,6,19
931,6,California,19,Fresno,3.0,6,19
932,6,California,59,Orange,6.0,6,59
933,6,California,67,Sacramento,9.0,6,67
934,6,California,71,San Bernardino,6.0,6,71
935,6,California,71,San Bernardino,17.0,6,71
936,6,California,81,San Mateo,9.0,6,81
937,6,California,83,Santa Barbara,3.0,6,83
938,6,California,95,Solano,5.0,6,95
939,6,California,99,Stanislaus,6.0,6,99
967,42,Pennsylvania,3,Allegheny,7.0,42,3
968,42,Pennsylvania,3,Allegheny,2.0,42,3
969,42,Pennsylvania,17,Bucks,17.0,42,17
970,42,Pennsylvania,101,Philadelphia,2.0,42,101
971,42,Pennsylvania,125,Washington,3.0,42,125
972,48,Texas,141,El Paso,5.0,48,141
973,48,Texas,141,El Paso,6.0,48,141
989,6,California,13,Contra Costa,3.0,6,13
990,6,California,25,Imperial,26.0,6,25
991,6,California,25,Imperial,0.0,6,25
992,6,California,37,Los Angeles,5.0,6,37
993,6,California,37,Los Angeles,3.0,6,37
994,6,California,37,Los Angeles,3.0,6,37
995,6,California,37,Los Angeles,7.0,6,37
996,6,California,65,Riverside,7.0,6,65
997,6,California,73,San Diego,9.0,6,73
998,6,California,75,San Francisco,10.0,6,75
999,6,California,87,Santa Cruz,3.0,6,87
1020,42,Pennsylvania,1,Adams,3.0,42,1
1021,42,Pennsylvania,11,Berks,8.0,42,11
1022,48,Texas,141,El Paso,14.0,48,141
1023,48,Texas,141,El Paso,5.0,48,141
1024,48,Texas,141,El Paso,9.0,48,141
1025,48,Texas,201,Harris,10.0,48,201
1036,6,California,13,Contra Costa,5.0,6,13
1037,6,California,37,Los Angeles,6.0,6,37
1038,6,California,53,Monterey,7.0,6,53
1039,6,California,67,Sacramento,9.0,6,67
1082,42,Pennsylvania,7,Beaver,5.0,42,7
1083,42,Pennsylvania,73,Lawrence,15.0,42,73
1084,42,Pennsylvania,95,Northampton,0.0,42,95
1085,42,Pennsylvania,101,Philadelphia,17.0,42,101
1086,42,Pennsylvania,125,Washington,2.0,42,125
1087,48,Texas,29,Bexar,8.0,48,29
1088,48,Texas,141,El Paso,14.0,48,141
1089,48,Texas,141,El Paso,7.0,48,141
1090,48,Texas,201,Harris,16.0,48,201
1091,48,Texas,439,Tarrant,8.0,48,439
1096,48,Texas,29,Bexar,5.0,48,29
1098,48,Texas,141,El Paso,5.0,48,141
1100,6,California,13,Contra Costa,6.0,6,13
1104,6,California,67,Sacramento,3.0,6,67
1108,48,Texas,141,El Paso,8.0,48,141
1111,6,California,37,Los Angeles,23.0,6,37
1113,48,Texas,201,Harris,3.0,48,201
1115,48,Texas,201,Harris,2.0,48,201
1120,42,Pennsylvania,3,Allegheny,1.0,42,3
1126,48,Texas,141,El Paso,2.0,48,141
1127,42,Pennsylvania,69,Lackawanna,0.0,42,69
1134,6,California,1,Alameda,5.0,6,1
1135,6,California,1,Alameda,8.0,6,1
1136,6,California,23,Humboldt,2.0,6,23
1137,6,California,37,Los Angeles,5.0,6,37
1138,6,California,45,Mendocino,3.0,6,45
1139,6,California,59,Orange,6.0,6,59
1140,6,California,65,Riverside,7.0,6,65
1167,42,Pennsylvania,3,Allegheny,8.0,42,3
1168,42,Pennsylvania,13,Blair,5.0,42,13
1169,42,Pennsylvania,69,Lackawanna,2.0,42,69
1170,42,Pennsylvania,101,Philadelphia,8.0,42,101
1172,48,Texas,61,Cameron,8.0,48,61
1173,48,Texas,113,Dallas,0.0,48,113
1174,48,Texas,141,El Paso,10.0,48,141
1175,48,Texas,141,El Paso,27.0,48,141
1176,48,Texas,201,Harris,2.0,48,201
1177,48,Texas,201,Harris,6.0,48,201
1178,48,Texas,245,Jefferson,3.0,48,245
1191,42,Pennsylvania,13,Blair,0.0,42,13
1194,6,California,53,Monterey,5.0,6,53
1195,6,California,53,Monterey,6.0,6,53
1197,6,California,59,Orange,6.0,6,59
1198,6,California,83,Santa Barbara,6.0,6,83
1199,6,California,37,Los Angeles,5.0,6,37
1200,6,California,95,Solano,5.0,6,95
1202,6,California,13,Contra Costa,2.0,6,13
1203,48,Texas,141,El Paso,11.0,48,141
1204,42,Pennsylvania,49,Erie,8.0,42,49
1205,48,Texas,29,Bexar,7.0,48,29
1209,42,Pennsylvania,7,Beaver,5.0,42,7
1212,6,California,45,Mendocino,7.0,6,45
1216,6,California,25,Imperial,13.0,6,25
1219,42,Pennsylvania,129,Westmoreland,0.0,42,129
1220,42,Pennsylvania,3,Allegheny,10.0,42,3
1222,6,California,73,San Diego,6.0,6,73
1228,6,California,97,Sonoma,3.0,6,97
1230,48,Texas,439,Tarrant,9.0,48,439
1233,48,Texas,201,Harris,5.0,48,201
1234,6,California,75,San Francisco,6.0,6,75
1236,48,Texas,479,Webb,8.0,48,479
1238,6,California,23,Humboldt,3.0,6,23
1243,6,California,65,Riverside,2.0,6,65
1246,6,California,37,Los Angeles,10.0,6,37
1247,6,California,71,San Bernardino,7.0,6,71
1249,48,Texas,141,El Paso,5.0,48,141
1252,6,California,19,Fresno,2.0,6,19
1257,48,Texas,141,El Paso,6.0,48,141
1263,42,Pennsylvania,3,Allegheny,7.0,42,3
1272,6,California,9,Calaveras,2.0,6,9
1273,6,California,19,Fresno,8.0,6,19
1274,6,California,25,Imperial,10.0,6,25
1275,6,California,25,Imperial,9.0,6,25
1276,6,California,25,Imperial,0.0,6,25
1277,6,California,37,Los Angeles,13.0,6,37
1278,6,California,45,Mendocino,5.0,6,45
1279,6,California,61,Placer,5.0,6,61
1280,6,California,71,San Bernardino,6.0,6,71
1281,6,California,71,San Bernardino,17.0,6,71
1282,6,California,81,San Mateo,13.0,6,81
1283,6,California,85,Santa Clara,8.0,6,85
1284,6,California,87,Santa Cruz,5.0,6,87
1285,6,California,109,Tuolumne,11.0,6,109
1312,42,Pennsylvania,43,Dauphin,6.0,42,43
1313,42,Pennsylvania,43,Dauphin,3.0,42,43
1314,42,Pennsylvania,49,Erie,14.0,42,49
1315,42,Pennsylvania,107,Schuylkill,0.0,42,107
1316,42,Pennsylvania,129,Westmoreland,0.0,42,129
1317,48,Texas,141,El Paso,3.0,48,141
1318,48,Texas,439,Tarrant,7.0,48,439
1319,48,Texas,453,Travis,5.0,48,453
1332,48,Texas,309,McLennan,3.0,48,309
1336,6,California,77,San Joaquin,15.0,6,77
1337,6,California,25,Imperial,2.0,6,25
1338,6,California,13,Contra Costa,8.0,6,13
1342,6,California,7,Butte,3.0,6,7
1343,6,California,71,San Bernardino,2.0,6,71
1345,6,California,37,Los Angeles,9.0,6,37
1348,6,California,83,Santa Barbara,2.0,6,83
1349,6,California,13,Contra Costa,8.0,6,13
1350,6,California,71,San Bernardino,13.0,6,71
1353,6,California,59,Orange,0.0,6,59
1354,6,California,67,Sacramento,5.0,6,67
1355,48,Texas,141,El Paso,11.0,48,141
1358,42,Pennsylvania,43,Dauphin,6.0,42,43
1359,6,California,59,Orange,0.0,6,59
1361,42,Pennsylvania,3,Allegheny,2.0,42,3
1365,42,Pennsylvania,3,Allegheny,3.0,42,3
1371,6,California,23,Humboldt,1.0,6,23
1377,6,California,83,Santa Barbara,2.0,6,83
1378,48,Texas,201,Harris,5.0,48,201
1380,6,California,99,Stanislaus,23.0,6,99
1381,6,California,77,San Joaquin,2.0,6,77
1382,6,California,7,Butte,10.0,6,7
1383,6,California,1,Alameda,5.0,6,1
1387,42,Pennsylvania,1,Adams,1.0,42,1
1391,6,California,83,Santa Barbara,2.0,6,83
1392,6,California,83,Santa Barbara,2.0,6,83
1393,6,California,65,Riverside,6.0,6,65
1395,6,California,71,San Bernardino,5.0,6,71
1396,6,California,83,Santa Barbara,2.0,6,83
1397,6,California,67,Sacramento,6.0,6,67
1399,48,Texas,141,El Paso,9.0,48,141
1400,6,California,37,Los Angeles,6.0,6,37
1403,48,Texas,141,El Paso,11.0,48,141
1408,42,Pennsylvania,3,Allegheny,2.0,42,3
1409,42,Pennsylvania,3,Allegheny,5.0,42,3
1414,6,California,75,San Francisco,5.0,6,75
1415,48,Texas,309,McLennan,1.0,48,309
1416,6,California,81,San Mateo,3.0,6,81
1418,48,Texas,245,Jefferson,2.0,48,245
1424,6,California,83,Santa Barbara,6.0,6,83
1426,6,California,1,Alameda,1.0,6,1
1429,48,Texas,141,El Paso,10.0,48,141
1430,6,California,37,Los Angeles,6.0,6,37
1431,6,California,37,Los Angeles,16.0,6,37
1434,6,California,83,Santa Barbara,0.0,6,83
1435,6,California,73,San Diego,2.0,6,73
1437,6,California,67,Sacramento,20.0,6,67
1443,6,California,19,Fresno,5.0,6,19
1444,6,California,19,Fresno,6.0,6,19
1451,48,Texas,141,El Paso,5.0,48,141
1452,42,Pennsylvania,17,Bucks,6.0,42,17
1455,6,California,85,Santa Clara,7.0,6,85
1456,6,California,23,Humboldt,2.0,6,23
1458,48,Texas,201,Harris,2.0,48,201
1461,42,Pennsylvania,49,Erie,9.0,42,49
1462,6,California,37,Los Angeles,5.0,6,37
1463,42,Pennsylvania,73,Lawrence,5.0,42,73
1464,6,California,37,Los Angeles,1.0,6,37
1471,6,California,71,San Bernardino,5.0,6,71
1472,6,California,71,San Bernardino,6.0,6,71
1473,6,California,37,Los Angeles,3.0,6,37
1474,6,California,37,Los Angeles,1.0,6,37
1479,6,California,25,Imperial,2.0,6,25
1480,6,California,101,Sutter,1.0,6,101
1481,6,California,65,Riverside,2.0,6,65
1483,6,California,37,Los Angeles,1.0,6,37
1484,6,California,37,Los Angeles,2.0,6,37
1489,6,California,23,Humboldt,2.0,6,23
1494,48,Texas,479,Webb,9.0,48,479
1495,48,Texas,245,Jefferson,1.0,48,245
1499,6,California,59,Orange,8.0,6,59
1502,6,California,37,Los Angeles,8.0,6,37
1503,6,California,19,Fresno,3.0,6,19
1504,6,California,19,Fresno,6.0,6,19
1508,6,California,83,Santa Barbara,2.0,6,83
1510,48,Texas,439,Tarrant,2.0,48,439
1511,6,California,71,San Bernardino,9.0,6,71
1512,42,Pennsylvania,21,Cambria,2.0,42,21
1517,6,California,71,San Bernardino,6.0,6,71
1538,6,California,59,Orange,3.0,6,59
1539,6,California,37,Los Angeles,5.0,6,37
1541,6,California,81,San Mateo,5.0,6,81
1546,42,Pennsylvania,101,Philadelphia,6.0,42,101
1547,6,California,83,Santa Barbara,5.0,6,83
1551,6,California,23,Humboldt,2.0,6,23
1555,6,California,37,Los Angeles,5.0,6,37
