,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
1331,17,Illinois,31,Cook,5.0,17,31
1333,27,Minnesota,53,Hennepin,0.0,27,53
1334,8,Colorado,77,Mesa,6.0,8,77
1335,4,Arizona,19,Pima,10.0,4,19
1339,37,North Carolina,183,Wake,2.0,37,183
1340,54,West Virginia,29,Hancock,3.0,54,29
1341,1,Alabama,73,Jefferson,7.0,1,73
1344,53,Washington,63,Spokane,13.0,53,63
1346,31,Nebraska,109,Lancaster,6.0,31,109
1347,1,Alabama,73,Jefferson,6.0,1,73
1351,32,Nevada,31,Washoe,2.0,32,31
1352,4,Arizona,13,Maricopa,13.0,4,13
