,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
739,39,Ohio,153,Summit,15.0,39,153
740,40,Oklahoma,143,Tulsa,6.0,40,143
741,41,Oregon,51,Multnomah,24.0,41,51
742,41,Oregon,51,Multnomah,15.0,41,51
754,49,Utah,35,Salt Lake,15.0,49,35
755,49,Utah,49,Utah,14.0,49,49
756,49,Utah,49,Utah,36.0,49,49
757,51,Virginia,650,Hampton City,11.0,51,650
758,51,Virginia,760,Richmond City,7.0,51,760
759,51,Virginia,760,Richmond City,11.0,51,760
760,53,Washington,33,King,15.0,53,33
761,53,Washington,33,King,24.0,53,33
762,53,Washington,33,King,26.0,53,33
763,53,Washington,53,Pierce,14.0,53,53
764,53,Washington,63,Spokane,16.0,53,63
765,53,Washington,67,Thurston,18.0,53,67
766,54,West Virginia,9,Brooke,7.0,54,9
767,54,West Virginia,9,Brooke,3.0,54,9
768,54,West Virginia,69,Ohio,7.0,54,69
769,55,Wisconsin,101,Racine,7.0,55,101
770,55,Wisconsin,133,Waukesha,3.0,55,133
771,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,10.0,80,2
772,80,Country Of Mexico,2,BAJA CALIFORNIA NORTE,33.0,80,2
773,80,Country Of Mexico,6,CHIHUAHUA STATE,6.0,80,6
774,4,Arizona,13,Maricopa,45.0,4,13
782,8,Colorado,31,Denver,19.0,8,31
783,8,Colorado,59,Jefferson,8.0,8,59
784,8,Colorado,77,Mesa,28.0,8,77
785,9,Connecticut,1,Fairfield,8.0,9,1
786,9,Connecticut,1,Fairfield,13.0,9,1
787,9,Connecticut,3,Hartford,61.0,9,3
788,9,Connecticut,9,New Haven,9.0,9,9
789,11,District Of Columbia,1,District of Columbia,16.0,11,1
790,11,District Of Columbia,1,District of Columbia,14.0,11,1
791,12,Florida,11,Broward,8.0,12,11
792,12,Florida,57,Hillsborough,7.0,12,57
793,12,Florida,86,Miami-Dade,16.0,12,86
794,12,Florida,99,Palm Beach,3.0,12,99
795,15,Hawaii,3,Honolulu,3.0,15,3
796,17,Illinois,31,Cook,32.0,17,31
797,17,Illinois,167,Sangamon,10.0,17,167
798,17,Illinois,201,Winnebago,17.0,17,201
799,18,Indiana,97,Marion,16.0,18,97
800,20,Kansas,107,Linn,10.0,20,107
801,21,Kentucky,67,Fayette,3.0,21,67
802,21,Kentucky,67,Fayette,1.0,21,67
803,21,Kentucky,111,Jefferson,23.0,21,111
804,21,Kentucky,111,Jefferson,20.0,21,111
805,22,Louisiana,33,East Baton Rouge,50.0,22,33
806,25,Massachusetts,13,Hampden,34.0,25,13
807,25,Massachusetts,25,Suffolk,7.0,25,25
808,26,Michigan,163,Wayne,9.0,26,163
809,27,Minnesota,123,Ramsey,14.0,27,123
810,27,Minnesota,137,Saint Louis,17.0,27,137
811,27,Minnesota,145,Stearns,13.0,27,145
812,29,Missouri,189,Saint Louis,3.0,29,189
813,31,Nebraska,109,Lancaster,18.0,31,109
814,32,Nevada,3,Clark,1.0,32,3
815,32,Nevada,3,Clark,7.0,32,3
816,32,Nevada,31,Washoe,10.0,32,31
817,32,Nevada,31,Washoe,17.0,32,31
818,32,Nevada,510,Carson City,11.0,32,510
819,34,New Jersey,5,Burlington,8.0,34,5
820,35,New Mexico,13,Dona Ana,3.0,35,13
821,35,New Mexico,49,Santa Fe,10.0,35,49
822,36,New York,47,Kings,7.0,36,47
823,36,New York,59,Nassau,6.0,36,59
824,36,New York,59,Nassau,7.0,36,59
825,36,New York,67,Onondaga,16.0,36,67
826,37,North Carolina,63,Durham,5.0,37,63
